"","year","state","population","urban","sex_ratio"
"388",2022,"punjab",30535000,41.46,1142.85714285714
"389",2022,"haryana",29846000,41.51,1145.47973675095
"390",2022,"nct_of_delhi",20965000,99.47,1152.01238390093
"391",2022,"rajasthan",80153000,26.47,1094.15712593762
"392",2022,"uttar_pradesh",233297000,23.88,1118.55513307985
"393",2022,"bihar",124919000,12.2,1117.25479299805
"394",2022,"assam",35378000,15.44,1057.25047080979
"395",2022,"west_bengal",98604000,36.37,1059.32008728609
"396",2022,"jharkhand",38969000,26,1098.79867439934
"397",2022,"odisha",44162000,18.69,1073.07885484681
"398",2022,"chhattisgarh",29836000,26.8,1046.0593654043
"399",2022,"madhya_pradesh",85548000,28.88,1089.37933367157
"400",2022,"gujarat",70648000,48.24,1136.35508745533
"401",2022,"maharashtra",125411000,48.26,1107.38909394805
"402",2022,"andhra_pradesh",52972000,35.87,1013.13837677474
"403",2022,"karnataka",67268000,43.93,1038.35276264055
"404",2022,"kerala",35633000,73.19,916.587050782685
"405",2022,"tamil_nadu",76631000,53.24,1000
"406",2022,"chandigarh",1219000,99.88,1214.54545454545
"407",2022,"uttarakhand",11518000,35.42,1131.66144200627
"408",2022,"sikkim",683000,47.01,1098.03921568627
"409",2022,"arunachal_pradesh",1548000,25.39,1124.32432432432
"410",2022,"nagaland",2213000,44.38,1102.78372591006
"411",2022,"manipur",3194000,32.15,975
"412",2022,"mizoram",1227000,54.76,1000
"413",2022,"tripura",4109000,38.09,1027.20207253886
"414",2022,"meghalaya",3318000,20.61,1000
"415",2022,"daman_&_diu",516000,94.7,2517.98561151079
"416",2022,"dadra_&_nagar_haveli",654000,68.53,1461.53846153846
"417",2022,"goa",1567000,74.74,1047.2027972028
"418",2022,"lakshadweep",68000,97.87,1030.30303030303
"419",2022,"puducherry",1608000,70.07,960
"420",2022,"andaman_&_nicobar_islands",402000,NA,1134.14634146341
"421",2023,"india",1386180000,35.19,1076.42306186041
"422",2023,"himachal_pradesh",7468000,10.31,1175.14124293785
"423",2023,"punjab",30730000,41.82,1142.88096032011
"424",2023,"haryana",30209000,42.1,1145.60485911928
"425",2023,"nct_of_delhi",21359000,99.57,1151.99352357822
"426",2023,"rajasthan",81025000,26.61,1093.99883472519
"427",2023,"uttar_pradesh",235687000,24.03,1118.56036514647
"428",2023,"bihar",126756000,12.28,1117.39899333424
"429",2023,"assam",35713000,15.56,1057.38615327656
"430",2023,"west_bengal",99084000,36.79,1059.26553672316
"431",2023,"jharkhand",39466000,26.18,1098.94351889476
"432",2023,"odisha",44291000,18.88,1072.8624535316
"433",2023,"chhattisgarh",30180000,27.12,1046.25
"434",2023,"madhya_pradesh",86579000,28.99,1089.39570501082
"435",2023,"gujarat",71507000,48.73,1136.34970265465
"436",2023,"maharashtra",126385000,48.53,1107.4079164376
"437",2023,"andhra_pradesh",53156000,36.47,1013.18795430945
"438",2023,"karnataka",67692000,44.41,1038.44849799959
"439",2023,"kerala",35776000,75.32,916.571834992888
"440",2023,"tamil_nadu",76860000,53.68,1000
"441",2023,"chandigarh",1231000,99.89,1216.21621621622
"442",2023,"uttarakhand",11637000,35.9,1131.12244897959
"443",2023,"sikkim",689000,49.05,1099.37888198758
"444",2023,"arunachal_pradesh",1562000,25.61,1127.65957446809
"445",2023,"nagaland",2233000,45.81,1100.6160164271
"446",2023,"manipur",3223000,32.42,975.425330812854
"447",2023,"mizoram",1238000,54.99,1002.94117647059
"448",2023,"tripura",4147000,39.19,1028.71410736579
"449",2023,"meghalaya",3349000,20.64,997.109826589595
"450",2023,"daman_&_diu",564000,95.46,2659.86394557823
"451",2023,"dadra_&_nagar_haveli",699000,69.79,1464.64646464646
"452",2023,"goa",1575000,75.82,1044.52054794521
"453",2023,"lakshadweep",69000,98.95,1060.60606060606
"454",2023,"puducherry",1646000,70.19,960.950764006791
"455",2023,"andaman_&_nicobar_islands",403000,NA,1144.57831325301
"456",2024,"india",1398598000,35.52,1076.42638626523
"457",2024,"himachal_pradesh",7505000,10.34,1173.66946778711
"458",2024,"punjab",30926000,42.19,1142.7163737888
"459",2024,"haryana",30573000,42.68,1145.3469253535
"460",2024,"nct_of_delhi",21752000,99.66,1152.0897448625
